network_packet_size,login_attempts,session_duration,ip_reputation_score,failed_logins,unusual_time_access,protocol_type_ICMP,protocol_type_TCP,protocol_type_UDP,encryption_used_AES,encryption_used_DES,browser_type_Chrome,browser_type_Edge,browser_type_Firefox,browser_type_Safari,browser_type_Unknown
0.375921375921376,0.0,0.7459774893060271,0.2457151008824127,1,0,0,1,0,0,1,1,0,0,0,0
0.3660933660933661,0.08333333333333333,0.9051398985095075,0.3399307797269588,0,0,0,1,0,0,1,1,0,0,0,0
0.1203931203931204,0.25,0.7392163967142499,0.2188670797628727,1,0,0,1,0,1,0,0,0,0,0,1
0.29811629811629814,0.16666666666666669,0.44499711544753673,0.8069026457587437,2,0,0,1,0,0,1,1,0,0,0,0
0.40950040950040956,0.08333333333333333,0.5337561605803494,0.0733874085067452,2,0,0,0,1,0,1,0,0,1,0,0
0.6240786240786241,0.08333333333333333,0.6532828065938135,0.1577311385212144,3,0,0,0,1,1,0,0,0,1,0,0
0.5094185094185094,0.49999999999999994,0.7309976817173144,0.329422679120201,1,0,0,1,0,0,1,0,1,0,0,0
0.3104013104013104,0.25,0.8660164157534268,0.74212663956329,1,0,0,1,0,0,1,1,0,0,0,0
0.11793611793611795,0.4166666666666667,0.7715884113995934,0.0988206292601928,3,0,0,1,0,0,1,1,0,0,0,0
0.34643734643734647,0.08333333333333333,0.7864307035428156,0.4712399339688634,3,0,0,1,0,1,0,1,0,0,0,0
0.2653562653562654,0.4166666666666667,0.7914750553546882,0.2436726924356769,3,0,0,1,0,1,0,1,0,0,0,0
0.13595413595413597,0.4166666666666667,0.8337284105757827,0.0957779324546032,2,0,0,0,1,0,1,1,0,0,0,0
0.7657657657657658,0.0,0.776801799234024,0.2980450278731521,2,0,0,0,1,1,0,1,0,0,0,0
0.45618345618345624,0.08333333333333333,0.716239837671802,0.3615473171786978,3,0,0,1,0,1,0,1,0,0,0,0
0.511875511875512,0.16666666666666669,0.8003605788957449,0.2044064198343554,2,1,0,1,0,1,0,1,0,0,0,0
0.03276003276003277,0.6666666666666666,0.6690897784458593,0.1520878632705579,3,0,0,1,0,1,0,1,0,0,0,0
0.34070434070434075,0.3333333333333333,0.6339391690475791,0.6181521403722822,2,0,0,1,0,0,1,1,0,0,0,0
0.46273546273546273,0.16666666666666669,0.07042905761766054,0.1231063959160895,2,0,0,1,0,0,1,1,0,0,0,0
0.3775593775593776,0.49999999999999994,0.6552829740179376,0.185794210270687,3,0,0,1,0,1,0,1,0,0,0,0
0.470925470925471,0.3333333333333333,0.7154757791609576,0.2100537029883124,2,0,0,1,0,1,0,0,0,1,0,0
0.42178542178542183,0.25,0.6386755870068038,0.7134920274908145,0,0,0,1,0,1,0,0,0,0,0,1
0.23751023751023753,0.16666666666666669,0.8482250769848569,0.2093230719593248,1,1,0,1,0,1,0,1,0,0,0,0
0.5307125307125308,0.08333333333333333,0.3364256475702766,0.1850363623348715,2,0,0,1,0,1,0,0,0,1,0,0
0.22276822276822278,0.0,0.735032367204441,0.1663687513809284,1,0,1,0,0,1,0,0,0,0,0,1
0.24897624897624898,0.08333333333333333,0.8103127502693983,0.0859629274009364,2,0,0,1,0,0,1,0,0,1,0,0
0.3595413595413596,0.3333333333333333,0.6904825424727735,0.2359489679452201,2,0,0,1,0,0,1,1,0,0,0,0
0.3161343161343162,0.16666666666666669,0.39391194629488036,0.1717332808583244,1,0,0,0,1,0,1,0,0,0,1,0
0.402948402948403,0.0,0.8253614960684184,0.3678703140296606,4,0,0,1,0,1,0,0,0,1,0,0
0.32514332514332517,0.16666666666666669,0.48393908466736657,0.4045815876179483,1,0,0,1,0,0,1,1,0,0,0,0
0.24324324324324326,0.6666666666666666,0.7115258357046297,0.4798600921879466,0,0,0,1,0,1,0,0,0,1,0,0
0.25470925470925476,0.0,0.3901782612608966,0.3491196731776561,0,1,0,1,0,1,0,0,0,1,0,0
0.5167895167895168,0.0,0.7661361858919086,0.259418552130799,2,0,0,0,1,1,0,0,1,0,0,0
0.2186732186732187,0.25,0.7950997482683315,0.1982526279651148,3,0,0,0,1,1,0,0,1,0,0,0
0.3685503685503686,0.49999999999999994,0.23948070167385113,0.3173204523659068,3,0,1,0,0,1,0,0,1,0,0,0
0.24733824733824739,0.0,0.7283558813112676,0.4748598937233589,1,0,0,1,0,1,0,0,1,0,0,0
0.14086814086814087,0.25,0.8876862685579073,0.3852625618629253,2,0,0,1,0,0,1,0,0,1,0,0
0.2653562653562654,0.16666666666666669,0.6774535654404682,0.6051520257930989,1,0,0,1,0,1,0,1,0,0,0,0
0.42751842751842756,0.7499999999999999,0.5911645203888998,0.1779893987128604,2,0,0,1,0,0,1,0,0,0,0,1
0.556920556920557,0.3333333333333333,0.7037705555672846,0.3284788592320463,1,0,0,1,0,0,1,1,0,0,0,0
0.008190008190008188,0.08333333333333333,0.571187327796952,0.5479741694827448,0,0,0,1,0,0,1,0,1,0,0,0
0.06388206388206388,0.25,0.7715803373939704,0.3527471570296811,0,0,0,0,1,1,0,0,0,0,0,1
0.47583947583947583,0.6666666666666666,0.688349246867258,0.3792242116785677,1,0,0,1,0,1,0,1,0,0,0,0
0.552006552006552,0.25,0.885761963676149,0.2935690036400107,2,0,0,1,0,1,0,1,0,0,0,0
0.010647010647010652,0.08333333333333333,0.6934500001737277,0.3826311542682533,3,0,0,1,0,1,0,1,0,0,0,0
0.47502047502047506,0.4166666666666667,0.5406456915100972,0.2847147283004803,3,0,0,1,0,1,0,0,0,1,0,0
